source_key,series_id,model_name,brand,price_min_wan,price_max_wan,level_name,body_structure,energy_type,seats,range_km,fuel_consumption,horsepower,model_year,sales,sales_period,trim_count,source_url,options_url,sales_url,captured_at
128864_纯电,128864,宏光MINIEV,上汽通用五菱,3.58,5.58,微型车,两厢车,纯电,4,,,,2026,12457,2026-06,12,https://www.16888.com/128864/,https://www.16888.com/128864/options/,https://xl.16888.com/s/128864/,2026-07-10
127686_纯电,127686,小蚂蚁,奇瑞新能源,5.49,6.09,微型车,两厢车,纯电,4,,,,2026,601,2026-04,2,https://www.16888.com/127686/,https://www.16888.com/127686/options/,https://xl.16888.com/s/127686/,2026-07-10
128803_纯电,128803,零跑T03,零跑汽车,5.99,6.99,微型车,两厢车,纯电,4,,,,2025,1,2026-06,2,https://www.16888.com/128803/,https://www.16888.com/128803/options/,https://xl.16888.com/s/128803/,2026-07-10
129444_纯电,129444,长安Lumin,长安汽车,3.79,6.59,微型车,两厢车,纯电,4,,,,2026,1901,2026-06,16,https://www.16888.com/129444/,https://www.16888.com/129444/options/,https://xl.16888.com/s/129444/,2026-07-10
129245_纯电,129245,QQ冰淇淋,奇瑞新能源,3.69,4.99,微型车,两厢车,纯电,4,,,,2026,830,2026-06,7,https://www.16888.com/129245/,https://www.16888.com/129245/options/,https://xl.16888.com/s/129245/,2026-07-10
129066_纯电,129066,花仙子,江汽集团,5.99,7.49,微型车,两厢车,纯电,5,,,,2023,1,2026-03,4,https://www.16888.com/129066/,https://www.16888.com/129066/options/,https://xl.16888.com/s/129066/,2026-07-10
129754_纯电,129754,熊猫,吉利汽车,4.69,5.39,微型车,两厢车,纯电,4,,,,2026,2675,2026-06,5,https://www.16888.com/129754/,https://www.16888.com/129754/options/,https://xl.16888.com/s/129754/,2026-07-10
128895_纯电,128895,凌宝BOX,吉麦新能源,4.19,6.19,微型车,两厢车,纯电,4,,,41,2025,342,2026-06,5,https://www.16888.com/128895/,https://www.16888.com/128895/options/,https://xl.16888.com/s/128895/,2026-07-10
129895_纯电,129895,奔腾小马,一汽奔腾,3.49,4.59,微型车,两厢车,纯电,4,,,,2026,4512,2026-06,6,https://www.16888.com/129895/,https://www.16888.com/129895/options/,https://xl.16888.com/s/129895/,2026-07-10
128413_纯电,128413,易至EV3,江铃集团新能源,6.28,6.68,微型车,两厢车,纯电,5,,,,2026,153,2026-06,4,https://www.16888.com/128413/,https://www.16888.com/128413/options/,https://xl.16888.com/s/128413/,2026-07-10
129217_纯电,129217,海豚,比亚迪,9.98,12.98,小型车,两厢车,纯电,5,,,,2025,13005,2026-06,7,https://www.16888.com/129217/,https://www.16888.com/129217/options/,https://xl.16888.com/s/129217/,2026-07-10
129792_纯电,129792,海鸥,比亚迪,6.98,8.59,小型车,两厢车,纯电,4,,,,2026,9825,2026-06,8,https://www.16888.com/129792/,https://www.16888.com/129792/options/,https://xl.16888.com/s/129792/,2026-07-10
130680_纯电,130680,星愿,吉利汽车,6.48,9.48,小型车,两厢车,纯电,5,,,,2026,33359,2026-06,11,https://www.16888.com/130680/,https://www.16888.com/130680/options/,https://xl.16888.com/s/130680/,2026-07-10
57797_燃油,57797,MINI,MINI,23.38,34.38,小型车,两厢车,燃油,4,,,204,2026,,,10,https://www.16888.com/57797/,https://www.16888.com/57797/options/,https://xl.16888.com/s/57797/,2026-07-10
129783_纯电,129783,五菱缤果,上汽通用五菱,5.68,8.48,小型车,两厢车,纯电,4,,,,2025,7512,2026-04,5,https://www.16888.com/129783/,https://www.16888.com/129783/options/,https://xl.16888.com/s/129783/,2026-07-10
128954_纯电,128954,欧拉好猫,长城新能源,8.38,10.38,小型车,两厢车,纯电,5,,,,2025,1016,2026-06,3,https://www.16888.com/128954/,https://www.16888.com/128954/options/,https://xl.16888.com/s/128954/,2026-07-10
130821_纯电,130821,firefly萤火虫,蔚来,11.98,13.58,小型车,两厢车,纯电,5,,,,2026,6914,2026-06,5,https://www.16888.com/130821/,https://www.16888.com/130821/options/,https://xl.16888.com/s/130821/,2026-07-10
127845_燃油,127845,焕驰,悦达起亚,6.49,6.89,小型车,三厢车,燃油,5,,5.7,95,2020,6,2026-06,2,https://www.16888.com/127845/,https://www.16888.com/127845/options/,https://xl.16888.com/s/127845/,2026-07-10
130035_纯电,130035,纳米01,东风汽车,5.98,13.98,小型车,两厢车,纯电,5,,,,2026,4342,2026-06,15,https://www.16888.com/130035/,https://www.16888.com/130035/options/,https://xl.16888.com/s/130035/,2026-07-10
130887_纯电,130887,极狐贝塔T1,北汽新能源,6.28,13.08,小型车,两厢车,纯电,5,,,,2026,7431,2026-06,9,https://www.16888.com/130887/,https://www.16888.com/130887/options/,https://xl.16888.com/s/130887/,2026-07-10
57415_燃油,57415,朗逸,上汽大众,7.999,15.19,紧凑型车,三厢车,燃油,5,,,160,2026,15444,2026-06,27,https://www.16888.com/57415/,https://www.16888.com/57415/options/,https://xl.16888.com/s/57415/,2026-07-10
57425_燃油,57425,速腾,一汽-大众,9.38,16.49,紧凑型车,三厢车,燃油,5,,,160,2026,9221,2026-06,9,https://www.16888.com/57425/,https://www.16888.com/57425/options/,https://xl.16888.com/s/57425/,2026-07-10
57509_燃油,57509,卡罗拉 燃油版,一汽丰田,11.68,14.98,紧凑型车,三厢车,燃油,5,,,171,2026,5227,2026-06,8,https://www.16888.com/57509/,https://www.16888.com/57509/options/,https://xl.16888.com/s/57509/,2026-07-10
57509_混动,57509,卡罗拉 混动版,一汽丰田,12.68,15.58,紧凑型车,三厢车,混动,5,,,98,2026,5227,2026-06,7,https://www.16888.com/57509/,https://www.16888.com/57509/options/,https://xl.16888.com/s/57509/,2026-07-10
57872_燃油,57872,轩逸,东风日产,7.99,17.49,紧凑型车,三厢车,燃油,5,,,135,2026,10329,2026-06,23,https://www.16888.com/57872/,https://www.16888.com/57872/options/,https://xl.16888.com/s/57872/,2026-07-10
57426_燃油,57426,宝来,一汽-大众,8.29,11.39,紧凑型车,三厢车,燃油,5,,,160,2026,3299,2026-06,6,https://www.16888.com/57426/,https://www.16888.com/57426/options/,https://xl.16888.com/s/57426/,2026-07-10
57309_燃油,57309,思域 燃油版,东风本田,9.79,15.99,紧凑型车,三厢车,燃油,5,,,182,2026,1751,2026-06,8,https://www.16888.com/57309/,https://www.16888.com/57309/options/,https://xl.16888.com/s/57309/,2026-07-10
57309_混动,57309,思域 混动版,东风本田,13.99,17.79,紧凑型车,三厢车,混动,5,,,143,2025,1751,2026-06,4,https://www.16888.com/57309/,https://www.16888.com/57309/options/,https://xl.16888.com/s/57309/,2026-07-10
57422_燃油,57422,高尔夫,一汽-大众,12.99,15.89,紧凑型车,两厢车,燃油,5,,,160,2026,1452,2026-06,3,https://www.16888.com/57422/,https://www.16888.com/57422/options/,https://xl.16888.com/s/57422/,2026-07-10
126081_燃油,126081,逸动 燃油版,长安汽车,7.29,9.99,紧凑型车,三厢车,燃油,5,,,192,2026,7912,2026-06,9,https://www.16888.com/126081/,https://www.16888.com/126081/options/,https://xl.16888.com/s/126081/,2026-07-10
126081_混动,126081,逸动 混动版,长安汽车,8.99,9.99,紧凑型车,三厢车,混动,5,,,98,2026,7912,2026-06,3,https://www.16888.com/126081/,https://www.16888.com/126081/options/,https://xl.16888.com/s/126081/,2026-07-10
126537_燃油,126537,奥迪A3,一汽奥迪,16.59,20.99,紧凑型车,两厢车,燃油,5,,,160,2026,5284,2026-06,14,https://www.16888.com/126537/,https://www.16888.com/126537/options/,https://xl.16888.com/s/126537/,2026-07-10
129054_插混,129054,秦PLUS 插混版,比亚迪,7.98,10.38,紧凑型车,三厢车,插混,5,,,101,2026,13726,2026-06,7,https://www.16888.com/129054/,https://www.16888.com/129054/options/,https://xl.16888.com/s/129054/,2026-07-10
129054_纯电,129054,秦PLUS 纯电版,比亚迪,8.98,17.98,紧凑型车,三厢车,纯电,5,,,,2025,13726,2026-06,11,https://www.16888.com/129054/,https://www.16888.com/129054/options/,https://xl.16888.com/s/129054/,2026-07-10
126551_混动,126551,雷凌 混动版,广汽丰田,12.98,14.88,紧凑型车,三厢车,混动,5,,,98,2026,129,2026-06,12,https://www.16888.com/126551/,https://www.16888.com/126551/options/,https://xl.16888.com/s/126551/,2026-07-10
126551_燃油,126551,雷凌 燃油版,广汽丰田,11.38,14.78,紧凑型车,三厢车,燃油,5,,,171,2026,129,2026-06,11,https://www.16888.com/126551/,https://www.16888.com/126551/options/,https://xl.16888.com/s/126551/,2026-07-10
57958_燃油,57958,明锐,上汽大众斯柯达,14.39,15.49,紧凑型车,掀背车,燃油,5,,,150,2025,2,2026-02,2,https://www.16888.com/57958/,https://www.16888.com/57958/options/,https://xl.16888.com/s/57958/,2026-07-10
57503_燃油,57503,凯美瑞 燃油版,广汽丰田,17.18,19.68,中型车,三厢车,燃油,5,,,173,2026,17114,2026-06,4,https://www.16888.com/57503/,https://www.16888.com/57503/options/,https://xl.16888.com/s/57503/,2026-07-10
57503_混动,57503,凯美瑞 混动版,广汽丰田,17.98,25.98,中型车,三厢车,混动,5,,,185,2026,17114,2026-06,13,https://www.16888.com/57503/,https://www.16888.com/57503/options/,https://xl.16888.com/s/57503/,2026-07-10
57231_燃油,57231,奥迪A4L,一汽奥迪,28.98,36.28,中型车,三厢车,燃油,5,,,245,2026,2166,2026-06,7,https://www.16888.com/57231/,https://www.16888.com/57231/options/,https://xl.16888.com/s/57231/,2026-07-10
57424_燃油,57424,迈腾,一汽-大众,17.49,24.69,中型车,三厢车,燃油,5,,,220,2026,12896,2026-06,10,https://www.16888.com/57424/,https://www.16888.com/57424/options/,https://xl.16888.com/s/57424/,2026-07-10
125276_燃油,125276,帕萨特,上汽大众,16.45,30.98,中型车,三厢车,燃油,5,,,220,2026,12862,2026-06,31,https://www.16888.com/125276/,https://www.16888.com/125276/options/,https://xl.16888.com/s/125276/,2026-07-10
57250_燃油,57250,宝马3系,华晨宝马,25.8,33.8,中型车,三厢车,燃油,5,,,245,2026,10549,2026-06,6,https://www.16888.com/57250/,https://www.16888.com/57250/options/,https://xl.16888.com/s/57250/,2026-07-10
57314_燃油,57314,雅阁,广汽本田,17.98,21.48,中型车,三厢车,燃油,5,,,192,2026,7797,2026-06,3,https://www.16888.com/57314/,https://www.16888.com/57314/options/,https://xl.16888.com/s/57314/,2026-07-10
57281_混动,57281,奔驰C级,北京奔驰,29.99,34.56,中型车,三厢车,混动,5,,,204,2026,6015,2026-06,6,https://www.16888.com/57281/,https://www.16888.com/57281/options/,https://xl.16888.com/s/57281/,2026-07-10
57360_燃油,57360,君威,上汽通用别克,15.98,17.58,中型车,三厢车,燃油,5,,,237,2025,1435,2026-06,2,https://www.16888.com/57360/,https://www.16888.com/57360/options/,https://xl.16888.com/s/57360/,2026-07-10
57357_燃油,57357,君越,上汽通用别克,20.99,23.99,中型车,三厢车,燃油,5,,,237,2026,3967,2026-06,2,https://www.16888.com/57357/,https://www.16888.com/57357/options/,https://xl.16888.com/s/57357/,2026-07-10
