source_slug,brand,model_name,powertrain,price_usd,body_style,model_year,range_km,horsepower,seats,source_url,captured_at
dfsk-k01,DFSK,DFSK K01,ICE,2000,Pickup,2024,,53,2,https://chinacarprices.com/models/dfsk-k01,2026-07-10
wuling-mini-ev,Wuling,Wuling Hongguang Mini EV,BEV,4838,Hatchback,2024,215,41,4,https://chinacarprices.com/models/wuling-mini-ev,2026-07-10
geely-panda-mini,Geely,Geely Panda Mini EV,BEV,5885,Hatchback,2024,200,41,4,https://chinacarprices.com/models/geely-panda-mini,2026-07-10
wuling-bingo,Wuling,Wuling Bingo,BEV,8820,Hatchback,2024,410,100,5,https://chinacarprices.com/models/wuling-bingo,2026-07-10
byd-seagull,BYD,BYD Seagull,BEV,10295,Hatchback,2024,405,75,5,https://chinacarprices.com/models/byd-seagull,2026-07-10
geely-emgrand,Geely,Geely Emgrand,ICE,10310,Sedan,2024,,122,5,https://chinacarprices.com/models/geely-emgrand,2026-07-10
haval-jolion,Great Wall (GWM),Haval Jolion,ICE,11637,SUV,2024,,150,5,https://chinacarprices.com/models/haval-jolion,2026-07-10
byd-qin-plus,BYD,BYD Qin Plus DM-i,PHEV,11770,Sedan,2024,55,110,5,https://chinacarprices.com/models/byd-qin-plus,2026-07-10
mg-zs,MG,MG ZS,ICE,11785,SUV,2024,,169,5,https://chinacarprices.com/models/mg-zs,2026-07-10
mg5,MG,MG5,ICE,12080,Sedan,2024,,114,5,https://chinacarprices.com/models/mg5,2026-07-10
geely-coolray,Geely,Geely Coolray (Binyue),ICE,12950,SUV,2024,,177,5,https://chinacarprices.com/models/geely-coolray,2026-07-10
jetour-x70,Jetour,Jetour X70,ICE,13260,SUV,2024,,197,7,https://chinacarprices.com/models/jetour-x70,2026-07-10
chery-tiggo-7,Chery,Chery Tiggo 7 Plus,ICE,13555,SUV,2024,,197,5,https://chinacarprices.com/models/chery-tiggo-7,2026-07-10
geely-boyue,Geely,Geely Boyue (Atlas),ICE,13687,SUV,2024,,184,5,https://chinacarprices.com/models/geely-boyue,2026-07-10
omoda-5,Omoda,Omoda 5 / C5,ICE,13702,SUV,2024,,197,5,https://chinacarprices.com/models/omoda-5,2026-07-10
changan-cs55-plus,Changan,Changan CS55 Plus,ICE,13702,SUV,2024,,185,5,https://chinacarprices.com/models/changan-cs55-plus,2026-07-10
byd-yuan-up,BYD,BYD Yuan Up,BEV,14277,SUV,2024,401,130,5,https://chinacarprices.com/models/byd-yuan-up,2026-07-10
byd-dolphin,BYD,BYD Dolphin,BEV,14720,Hatchback,2024,420,95,5,https://chinacarprices.com/models/byd-dolphin,2026-07-10
aion-s,GAC Aion,GAC Aion S,BEV,14720,Sedan,2024,510,184,5,https://chinacarprices.com/models/aion-s,2026-07-10
haval-h6,Great Wall (GWM),Haval H6,ICE,14735,SUV,2024,,204,5,https://chinacarprices.com/models/haval-h6,2026-07-10
jetour-dashing,Jetour,Jetour Dashing,ICE,14735,SUV,2024,,254,5,https://chinacarprices.com/models/jetour-dashing,2026-07-10
ora-good-cat,Great Wall (GWM),ORA Good Cat,BEV,15605,Hatchback,2024,420,143,5,https://chinacarprices.com/models/ora-good-cat,2026-07-10
changan-cs75-plus,Changan,Changan CS75 Plus,ICE,15619,SUV,2024,,233,5,https://chinacarprices.com/models/changan-cs75-plus,2026-07-10
geely-galaxy-e5,Geely,Geely Galaxy E5,BEV,16195,SUV,2024,530,218,5,https://chinacarprices.com/models/geely-galaxy-e5,2026-07-10
aion-y,GAC Aion,GAC Aion Y,BEV,16195,SUV,2024,510,204,5,https://chinacarprices.com/models/aion-y,2026-07-10
byd-song-pro,BYD,BYD Song Pro DM-i,PHEV,16195,SUV,2024,110,197,5,https://chinacarprices.com/models/byd-song-pro,2026-07-10
chery-arrizo-8,Chery,Chery Arrizo 8,ICE,16209,Sedan,2024,,261,5,https://chinacarprices.com/models/chery-arrizo-8,2026-07-10
byd-atto-3,BYD,BYD Atto 3 (Yuan Plus),BEV,17670,SUV,2024,430,201,5,https://chinacarprices.com/models/byd-atto-3,2026-07-10
xpeng-mona-m03,XPeng,XPeng Mona M03,BEV,17670,Sedan,2024,515,188,5,https://chinacarprices.com/models/xpeng-mona-m03,2026-07-10
mg4,MG,MG4 EV (Mulan),BEV,17670,Hatchback,2024,425,170,5,https://chinacarprices.com/models/mg4,2026-07-10
mg-hs,MG,MG HS,ICE,17684,SUV,2024,,228,5,https://chinacarprices.com/models/mg-hs,2026-07-10
